"Lower Chance Farm SU58_89","Malthouse SU48_34","Calvesleys Farm SU57_159","Woodend SU57_155","Ashridge Wood SU47_140","Briff Lane SU56_119","Mayfield Farm SU57_158","The Barracks SU48_71","Compton Shepherds Hill SU57_154","Marlston Farm SU57_161","Bottom Barn SU57_153","Beenham SU56_220","Hartridge Farm SU57_39","Bere Court Farm SU67_84","comp","D"
0.906001924464758,NA,0.681048689138577,0.950354609929078,0.689464527353567,0.681683021112104,0.908026755852843,0.472706841383513,0.915848353014295,0.900414078674949,0.478772044415415,0.596774193548387,0.648050579557429,NA,0.73576213487041,1999-02-01
0.888411113783979,NA,0.678352059925094,0.949709864603482,0.658998646820027,0.68220338983051,0.899355877616748,0.412901874142922,0.918210068365445,0.87784679089027,0.641410842586544,0.534274193548388,0.757112750263435,0.688505747126437,0.737484093807945,1999-03-01
0.852978911073691,0.707040273174651,0.588464419475656,0.925854287556415,0.614382369998067,0.659307166220638,0.863433667781494,0.363096145055615,0.884400248601617,0.796066252587992,0.609405617243631,0.50554435483871,0.604847207586934,NA,0.690370840091931,1999-04-01
0.807373105605003,NA,0.516404494382023,0.81415215989684,0.512758554030543,0.642134998513234,0.795893719806764,0.313195185128752,0.80236171535115,0.836438923395447,0.593076420640104,0.492338709677419,0.543730242360379,NA,0.639154852398972,1999-05-01
0.74091893192206,NA,0.462352059925094,0.807350096711799,0.496810361492364,0.638180196253346,0.742196209587514,0.281807100411397,0.760099440646365,0.828416149068323,0.531678641410843,0.488407258064516,0.526343519494205,NA,0.608713330415652,1999-06-01
0.688447197498196,NA,0.400868913857678,0.762862669245648,0.455248405180746,0.60154623847755,0.680571039266691,0.255751942709127,0.708980733374767,0.799430641821946,0.464402351404311,0.449092741935485,0.377766069546891,NA,0.553747412026587,1999-07-01
0.617873466442146,0.392186401526564,0.347415730337079,0.707930367504836,0.397873574328243,0.525572405590248,0.635451505016723,0.224884453248007,0.650341827221877,0.776811594202899,0.426518615284128,0.435887096774195,0.327186512118019,NA,0.497379503814997,1999-08-01
0.554636757276882,NA,0.299925093632959,0.660219213410702,0.34834718731877,0.507359500446031,0.587049424005946,0.198765808319366,0.596643878185208,0.763198757763976,0.390594382756368,0.396673387096774,0.279768177028451,NA,0.465265130603453,1999-09-01
0.505773394274717,NA,0.295880149812734,0.629142488716956,0.315058959984535,0.495911388641095,0.55230397621702,0.181713139316369,0.563579863269111,0.770393374741202,0.370346178967995,0.366647465437788,0.26290832455216,0.322988505747127,0.433280554590678,1999-10-01
0.4880322347847,0.226473837501256,0.296779026217229,0.614442295293359,0.305045428184805,0.479779958370503,0.530959680416202,0.177681700441871,0.548477315102549,0.768115942028986,0.342259960809928,0.401713709677421,0.275553213909378,NA,0.419639561749091,1999-11-01
0.491039210969449,NA,0.331136079900125,0.622179239200516,0.318287260777112,0.497472494796313,0.52991452991453,0.210498247752552,0.55655686761964,0.81728778467909,0.36120182887002,0.446572580645162,0.275026343519494,NA,0.454764372387,1999-12-01
0.67356266538369,NA,0.447730337078652,0.729980657640232,0.418325923062053,0.599464763603926,0.668106651802304,0.320369241708568,0.664512119328776,0.852587991718427,0.445460483344219,0.514616935483871,0.380400421496312,NA,0.559593182637586,2000-01-01
0.730544864084677,NA,0.540973782771536,0.791908446163765,0.519621109607578,0.601962533452276,0.725473801560758,0.357534664025598,0.740832815413301,0.819616977225674,0.512083605486609,0.515793010752689,0.516332982086407,NA,0.614389882719239,2000-02-01
0.736107770026462,NA,0.54621722846442,0.816892327530625,0.533346220761647,0.612473981564081,0.749860646599777,0.349535273502971,0.770820385332505,0.844202898550725,0.523840627041149,0.526209677419355,0.506322444678609,0.539080459770115,0.619608457018649,2000-03-01
