"","D","Lad_2","Lad_3","Lad_31","Lad_mean"
"49",1994-01-01,0.840696950840074,0.296296296296298,0.676923076923086,0.75881001388158
"50",1994-02-01,0.725575606720598,0.299663299663299,0.684615384615387,0.705095495667992
"51",1994-03-01,0.612321095208463,0.244107744107746,0.557692307692315,0.585006701450389
"52",1994-04-01,0.852520224019913,0.296296296296298,0.676923076923086,0.764721650471499
"53",1994-05-01,0.416303671437461,0.227272727272725,0.519230769230768,0.467767220334115
"54",1994-06-01,0.296204107031736,0.207070707070709,0.473076923076931,0.384640515054333
"55",1994-07-01,0.229309271935283,0.148148148148147,0.338461538461537,0.28388540519841
"56",1994-08-01,0.213130056004978,0.112794612794615,0.257692307692314,0.235411181848646
"57",1994-09-01,0.141257000622277,0.10942760942761,0.250000000000003,0.19562850031114
"58",1994-10-01,0.63627878033603,0.183501683501683,0.419230769230771,0.527754774783401
"59",1994-11-01,0.775668948350965,0.265993265993267,0.607692307692314,0.691680628021639
"60",1994-12-01,0.60983198506534,0.271043771043772,0.619230769230776,0.614531377148058
"61",1995-01-01,0.973242065961418,0.262626262626262,0.600000000000002,0.78662103298071
"62",1995-02-01,0.718419415059116,0.301346801346803,0.688461538461548,0.703440476760332
"63",1995-03-01,0.705351586807717,0.265993265993267,0.607692307692314,0.656521947250015
"64",1995-04-01,0.607031736154325,0.242424242424241,0.553846153846154,0.58043894500024
"65",1995-05-01,0.330429371499689,0.215488215488215,0.492307692307694,0.411368531903691
"66",1995-06-01,0.283136278780337,0.208754208754209,0.476923076923081,0.380029677851709
"67",1995-07-01,0.22028624766646,0.144781144781146,0.330769230769237,0.275527739217848
"68",1995-08-01,0.153080273802115,0.0858585858585887,0.196153846153854,0.174617059977985
"69",1995-09-01,0.114187927815806,0.0572390572390576,0.130769230769232,0.122478579292519
"70",1995-10-01,0.0743621655258241,0.0471380471380471,0.107692307692308,0.0910272366090663
"71",1995-11-01,0.0675171126322336,0.0622895622895628,0.142307692307694,0.104912402469964
"72",1995-12-01,0.238954573739888,0.0841750841750838,0.192307692307693,0.21563113302379
"73",1996-01-01,0.548226509023025,0.023569023569026,0.0538461538461597,0.301036331434592
"74",1996-02-01,0.796826384567518,0.191919191919194,0.438461538461545,0.617643961514531
"75",1996-03-01,0.451462352209085,0.202020202020204,0.461538461538469,0.456500406873777
"76",1996-04-01,0.360920970752957,0.023569023569026,0.0538461538461597,0.207383562299558
"77",1996-05-01,0.369632856253889,0.191919191919194,0.438461538461545,0.404047197357717
"78",1996-06-01,0.261356565028002,0.156565656565657,0.357692307692311,0.309524436360156
