"D","Coven Lane 1048GW","Podmore 1022GW","Woolgarston 1009GW","Brocton Park Farm 1026GW","Broughton Hall 1032GW","Bishops Offley 1030GW","Stafford Lodge 1031GW","Stabhill 1029GW","Little Grange Farm 1035GW","Codsall 1025GW","Shelton under Harley 1043GW","Wing House 1044GW","Squirrels Leap 1063GW","Brocton Nature Reserve 1045GW","Sherbrooke Valley 1047GW","Four Crosses 1007GW","Cat and Kittens Lane 1050GW","comp"
2003-06-01,0.469512195121953,0.624544349939246,0.112262521588945,0.61070110701107,0.865168539325842,0.677165354330703,0.641104294478526,0.931428571428573,0.933884297520659,0.427586206896548,0.861702127659575,0.75414364640884,0.745238095238098,0.550964187327824,0.729390681003585,0.533057851239669,0.432525951557095,0.641198822239809
2003-07-01,0.439024390243902,0.439854191980559,0.100172711571675,0.601476014760148,0.847512038523276,0.692913385826774,0.638036809815952,0.945714285714286,0.91184573002755,0.337931034482758,0.858662613981764,0.757826887661142,0.847619047619045,0.515151515151513,0.722222222222225,0.570247933884299,0.394463667820066,0.624745557722761
2003-08-01,0.429878048780487,0.340218712029161,0.0777202072538866,0.547970479704797,0.858747993579455,0.614173228346453,0.604294478527609,0.930000000000001,0.900826446280988,0.365517241379314,0.835866261398177,0.741252302025784,0.835714285714287,0.46005509641873,0.485663082437274,0.570247933884299,0.366782006920413,0.586172223804771
2003-09-01,0.457317073170732,0.247873633049818,0.0656303972366142,0.536900369003689,0.839486356340289,0.527559055118107,0.604294478527609,0.941428571428572,0.867768595041325,NA,0.83890577507599,0.741252302025784,0.804761904761907,0.418732782369145,0.487455197132618,0.458677685950415,0.339100346020759,0.573571532640836
2003-10-01,0.384146341463416,0.204131227217498,0.0552677029360956,0.492619926199262,0.831460674157302,0.559055118110238,0.573619631901839,0.931428571428573,0.749311294765841,0.30344827586207,0.811550151975685,0.724677716390424,0.754761904761906,0.393939393939392,0.67204301075269,0.371900826446279,0.307958477508647,0.53654824975395
2003-11-01,0.347560975609756,0.165249088699878,0.0500863557858363,0.50369003690037,0.759229534510434,0.440944881889762,0.573619631901839,0.955714285714287,0.765840220385676,0.296551724137928,0.829787234042555,0.736648250460405,0.785714285714285,0.366391184573003,0.666666666666668,0.388429752066117,0.280276816608994,0.524258877980458
2003-12-01,0.317073170731709,0.217496962332929,0.046632124352331,0.404059040590405,0.792937399678974,0.433070866141738,0.50920245398773,0.910000000000001,0.782369146005512,0.310344827586201,0.776595744680851,0.699815837937386,0.8,0.330578512396692,0.607526881720429,0.297520661157026,0.197231833910033,0.496026791953526
2004-01-01,0.463414634146344,0.461725394896719,0.0690846286701195,0.387453874538744,0.747993579454255,0.472440944881893,0.506134969325152,0.920000000000002,0.80440771349862,0.372413793103446,0.785714285714286,0.695211786372008,0.79761904761905,0.325068870523414,0.629032258064516,0.314049586776857,0.290657439446364,0.531907223943047
2004-02-01,0.402439024390246,0.845686512758201,0.127806563039723,0.354243542435425,0.781701444622791,0.464566929133857,0.484662576687117,0.891428571428573,0.917355371900823,0.524137931034481,0.772036474164134,0.680478821362799,0.904761904761904,0.352617079889804,0.623655913978495,0.318181818181818,0.377162629757784,0.577819006442822
2004-03-01,0.368902439024393,0.713244228432562,0.0880829015544052,0.380073800738008,0.768860353130017,0.637795275590548,0.49079754601227,0.907142857142858,0.820936639118455,0.427586206896548,0.781155015197569,0.697053406998159,0.866666666666667,0.369146005509639,0.47491039426523,0.33471074380165,0.366782006920413,0.558461558058788
